"teamid","teamname","season","total_won_home","total_games","percent_won"
3162,"Columbia",2002,"4","10","40.00"
3162,"Columbia",2003,"7","11","63.64"
3162,"Columbia",2004,"8","12","66.67"
3162,"Columbia",2005,"5","12","41.67"
3162,"Columbia",2006,"4","6","66.67"
3162,"Columbia",2007,"6","8","75.00"
3162,"Columbia",2008,"6","10","60.00"
3162,"Columbia",2009,"9","13","69.23"
3162,"Columbia",2010,"10","18","55.56"
3162,"Columbia",2011,"6","7","85.71"
3162,"Columbia",2012,"3","3","100.00"
3162,"Columbia",2013,"4","5","80.00"
3162,"Columbia",2014,"2","6","33.33"
3162,"Columbia",2015,"7","8","87.50"
3162,"Columbia",2016,"7","11","63.64"
3162,"Columbia",2017,"5","13","38.46"
3162,"Columbia",2018,"3","8","37.50"
3162,"Columbia",2019,"5","8","62.50"
3162,"Columbia",2020,"10","17","58.82"
3163,"Connecticut",1998,"19","30","63.33"
3163,"Connecticut",1999,"16","27","59.26"
3163,"Connecticut",2000,"17","30","56.67"
3163,"Connecticut",2001,"17","28","60.71"
3163,"Connecticut",2002,"21","33","63.64"
3163,"Connecticut",2003,"13","31","41.94"
3163,"Connecticut",2004,"15","25","60.00"
3163,"Connecticut",2005,"14","23","60.87"
3163,"Connecticut",2006,"20","29","68.97"
3163,"Connecticut",2007,"18","29","62.07"
3163,"Connecticut",2008,"19","32","59.38"
3163,"Connecticut",2009,"19","33","57.58"
3163,"Connecticut",2010,"20","33","60.61"
3163,"Connecticut",2011,"20","32","62.50"
3163,"Connecticut",2012,"18","29","62.07"
3163,"Connecticut",2013,"14","29","48.28"
3163,"Connecticut",2014,"18","34","52.94"
3163,"Connecticut",2015,"17","32","53.13"
3163,"Connecticut",2016,"13","32","40.63"
3163,"Connecticut",2017,"16","32","50.00"
3163,"Connecticut",2018,"12","32","37.50"
3163,"Connecticut",2019,"12","31","38.71"
3163,"Connecticut",2020,"12","29","41.38"
3164,"Coppin St",1998,"6","9","66.67"
3164,"Coppin St",1999,"10","13","76.92"
3164,"Coppin St",2000,"5","12","41.67"
3164,"Coppin St",2001,"6","10","60.00"
3164,"Coppin St",2002,"6","13","46.15"
3164,"Coppin St",2003,"5","11","45.45"
3164,"Coppin St",2004,"9","18","50.00"
3164,"Coppin St",2005,"12","23","52.17"
3164,"Coppin St",2006,"12","22","54.55"
3164,"Coppin St",2007,"11","24","45.83"
3164,"Coppin St",2008,"9","21","42.86"
3164,"Coppin St",2009,"8","14","57.14"
3164,"Coppin St",2010,"4","8","50.00"
3164,"Coppin St",2011,"6","12","50.00"
3164,"Coppin St",2015,"3","6","50.00"
3164,"Coppin St",2016,"8","16","50.00"
3164,"Coppin St",2017,"4","8","50.00"
3164,"Coppin St",2018,"6","6","100.00"
3164,"Coppin St",2019,"2","5","40.00"
3164,"Coppin St",2020,"1","3","33.33"
3165,"Cornell",1998,"2","4","50.00"
3165,"Cornell",1999,"6","11","54.55"
3165,"Cornell",2000,"4","11","36.36"
3165,"Cornell",2001,"9","15","60.00"
3165,"Cornell",2002,"6","14","42.86"
3165,"Cornell",2003,"6","10","60.00"
3165,"Cornell",2004,"7","9","77.78"
3165,"Cornell",2005,"1","3","33.33"
3165,"Cornell",2006,"4","8","50.00"
3165,"Cornell",2007,"6","11","54.55"
3165,"Cornell",2008,"11","20","55.00"
3165,"Cornell",2009,"7","10","70.00"
3165,"Cornell",2010,"3","6","50.00"
3165,"Cornell",2011,"4","4","100.00"
3165,"Cornell",2012,"6","10","60.00"
3165,"Cornell",2013,"7","12","58.33"
3165,"Cornell",2014,"8","14","57.14"
3165,"Cornell",2015,"8","15","53.33"
3165,"Cornell",2016,"11","14","78.57"
3165,"Cornell",2017,"8","16","50.00"
3165,"Cornell",2018,"3","7","42.86"
3165,"Cornell",2019,"8","12","66.67"
3165,"Cornell",2020,"5","10","50.00"
3166,"Creighton",1998,"9","16","56.25"
3166,"Creighton",1999,"6","16","37.50"
3166,"Creighton",2000,"6","12","50.00"
3166,"Creighton",2001,"10","17","58.82"
3166,"Creighton",2002,"14","24","58.33"
3166,"Creighton",2003,"13","21","61.90"
3166,"Creighton",2004,"9","19","47.37"
3166,"Creighton",2005,"12","19","63.16"
3166,"Creighton",2006,"5","8","62.50"
3166,"Creighton",2007,"7","13","53.85"
3166,"Creighton",2008,"11","20","55.00"
3166,"Creighton",2009,"11","21","52.38"
3166,"Creighton",2010,"13","20","65.00"
3166,"Creighton",2015,"9","17","52.94"
3166,"Creighton",2016,"8","17","47.06"
3166,"Creighton",2017,"13","23","56.52"
3166,"Creighton",2018,"10","18","55.56"
3166,"Creighton",2019,"6","15","40.00"
3166,"Creighton",2020,"10","19","52.63"
3167,"CS Bakersfield",2008,"7","11","63.64"
3167,"CS Bakersfield",2009,"10","18","55.56"
3167,"CS Bakersfield",2010,"10","16","62.50"
3167,"CS Bakersfield",2011,"7","17","41.18"
3167,"CS Bakersfield",2012,"4","6","66.67"
3167,"CS Bakersfield",2013,"5","12","41.67"
3167,"CS Bakersfield",2014,"9","17","52.94"
3167,"CS Bakersfield",2015,"15","22","68.18"
3167,"CS Bakersfield",2016,"7","12","58.33"
3167,"CS Bakersfield",2017,"7","13","53.85"
3167,"CS Bakersfield",2018,"7","16","43.75"
3167,"CS Bakersfield",2019,"6","12","50.00"
3167,"CS Bakersfield",2020,"9","13","69.23"
3168,"CS Fullerton",1998,"7","10","70.00"
3168,"CS Fullerton",1999,"2","4","50.00"
3168,"CS Fullerton",2000,"2","2","100.00"
3168,"CS Fullerton",2002,"3","4","75.00"
3168,"CS Fullerton",2003,"5","7","71.43"
3168,"CS Fullerton",2004,"4","9","44.44"
3168,"CS Fullerton",2005,"3","8","37.50"
3168,"CS Fullerton",2006,"9","11","81.82"
3168,"CS Fullerton",2007,"11","16","68.75"
3168,"CS Fullerton",2008,"7","11","63.64"
3168,"CS Fullerton",2009,"6","10","60.00"
3168,"CS Fullerton",2010,"9","15","60.00"
3168,"CS Fullerton",2011,"6","9","66.67"
3168,"CS Fullerton",2012,"6","11","54.55"
3168,"CS Fullerton",2013,"7","11","63.64"
3168,"CS Fullerton",2014,"7","12","58.33"
3168,"CS Fullerton",2015,"5","13","38.46"
3168,"CS Fullerton",2016,"1","3","33.33"
3168,"CS Fullerton",2017,"2","2","100.00"
3168,"CS Fullerton",2018,"5","7","71.43"
3168,"CS Fullerton",2019,"7","13","53.85"
3168,"CS Fullerton",2020,"8","17","47.06"
3169,"CS Northridge",1998,"8","12","66.67"
3169,"CS Northridge",1999,"14","21","66.67"
3169,"CS Northridge",2000,"10","16","62.50"
3169,"CS Northridge",2001,"6","9","66.67"
3169,"CS Northridge",2002,"2","2","100.00"
3169,"CS Northridge",2003,"2","3","66.67"
3169,"CS Northridge",2004,"4","6","66.67"
3169,"CS Northridge",2005,"9","18","50.00"
3169,"CS Northridge",2006,"6","10","60.00"
3169,"CS Northridge",2007,"8","13","61.54"
3169,"CS Northridge",2009,"6","8","75.00"
3169,"CS Northridge",2010,"2","4","50.00"
3169,"CS Northridge",2011,"2","4","50.00"
3169,"CS Northridge",2012,"10","17","58.82"
3169,"CS Northridge",2013,"10","16","62.50"
3169,"CS Northridge",2014,"10","18","55.56"
3169,"CS Northridge",2015,"13","23","56.52"
3169,"CS Northridge",2016,"4","7","57.14"
3169,"CS Northridge",2017,"8","18","44.44"
3169,"CS Northridge",2018,"9","18","50.00"
3169,"CS Northridge",2019,"10","16","62.50"
3169,"CS Northridge",2020,"5","11","45.45"
3170,"CS Sacramento",1998,"5","6","83.33"
3170,"CS Sacramento",1999,"1","3","33.33"
3170,"CS Sacramento",2000,"5","5","100.00"
3170,"CS Sacramento",2001,"2","2","100.00"
3170,"CS Sacramento",2005,"5","8","62.50"
3170,"CS Sacramento",2006,"8","9","88.89"
3170,"CS Sacramento",2007,"2","2","100.00"
3170,"CS Sacramento",2008,"4","6","66.67"
3170,"CS Sacramento",2009,"5","9","55.56"
3170,"CS Sacramento",2010,"6","14","42.86"
3170,"CS Sacramento",2011,"3","4","75.00"
3170,"CS Sacramento",2012,"8","12","66.67"
3170,"CS Sacramento",2013,"11","19","57.89"
3170,"CS Sacramento",2014,"13","18","72.22"
3170,"CS Sacramento",2015,"10","16","62.50"
3170,"CS Sacramento",2016,"6","14","42.86"
3170,"CS Sacramento",2017,"5","9","55.56"
3170,"CS Sacramento",2018,"4","6","66.67"
3170,"CS Sacramento",2019,"4","9","44.44"
3170,"CS Sacramento",2020,"2","6","33.33"
3171,"Dartmouth",1998,"8","14","57.14"
3171,"Dartmouth",1999,"10","18","55.56"
3171,"Dartmouth",2000,"11","19","57.89"
3171,"Dartmouth",2001,"6","12","50.00"
3171,"Dartmouth",2002,"3","11","27.27"
3171,"Dartmouth",2003,"9","15","60.00"
3171,"Dartmouth",2004,"8","15","53.33"
3171,"Dartmouth",2005,"7","17","41.18"
3171,"Dartmouth",2006,"10","23","43.48"
3171,"Dartmouth",2007,"10","15","66.67"
3171,"Dartmouth",2008,"8","15","53.33"
3171,"Dartmouth",2009,"9","18","50.00"
3171,"Dartmouth",2010,"5","11","45.45"
3171,"Dartmouth",2011,"6","7","85.71"
3171,"Dartmouth",2012,"2","6","33.33"
3171,"Dartmouth",2013,"2","6","33.33"
3171,"Dartmouth",2014,"3","5","60.00"
3171,"Dartmouth",2015,"7","14","50.00"
3171,"Dartmouth",2016,"5","12","41.67"
3171,"Dartmouth",2017,"5","8","62.50"
3171,"Dartmouth",2018,"9","15","60.00"
3171,"Dartmouth",2019,"8","13","61.54"
3171,"Dartmouth",2020,"6","10","60.00"
3172,"Davidson",1998,"11","18","61.11"
3172,"Davidson",1999,"10","17","58.82"
3172,"Davidson",2000,"5","10","50.00"
3172,"Davidson",2001,"3","8","37.50"
3172,"Davidson",2002,"7","10","70.00"
3172,"Davidson",2003,"6","15","40.00"
3172,"Davidson",2004,"8","16","50.00"
3172,"Davidson",2005,"9","18","50.00"
3172,"Davidson",2006,"7","15","46.67"
3172,"Davidson",2007,"9","22","40.91"
3172,"Davidson",2008,"10","19","52.63"
3172,"Davidson",2009,"6","12","50.00"
3172,"Davidson",2010,"7","13","53.85"
3172,"Davidson",2011,"8","14","57.14"
3172,"Davidson",2012,"13","22","59.09"
3172,"Davidson",2013,"9","21","42.86"
3172,"Davidson",2014,"7","16","43.75"
3172,"Davidson",2015,"2","5","40.00"
3172,"Davidson",2016,"4","11","36.36"
3172,"Davidson",2017,"5","6","83.33"
3172,"Davidson",2018,"5","12","41.67"
3172,"Davidson",2019,"9","16","56.25"
3172,"Davidson",2020,"7","15","46.67"
3173,"Dayton",1998,"7","9","77.78"
3173,"Dayton",1999,"5","11","45.45"
3173,"Dayton",2000,"9","15","60.00"
3173,"Dayton",2001,"7","15","46.67"
3173,"Dayton",2002,"7","11","63.64"
3173,"Dayton",2003,"8","14","57.14"
3173,"Dayton",2004,"2","3","66.67"
3173,"Dayton",2005,"5","12","41.67"
3173,"Dayton",2006,"9","17","52.94"
3173,"Dayton",2007,"6","12","50.00"
3173,"Dayton",2008,"12","25","48.00"
3173,"Dayton",2009,"10","20","50.00"
3173,"Dayton",2010,"11","24","45.83"
3173,"Dayton",2011,"8","21","38.10"
3173,"Dayton",2012,"8","23","34.78"
3173,"Dayton",2013,"12","27","44.44"
3173,"Dayton",2014,"12","23","52.17"
3173,"Dayton",2015,"12","25","48.00"
3173,"Dayton",2016,"7","14","50.00"
3173,"Dayton",2017,"11","22","50.00"
3173,"Dayton",2018,"12","23","52.17"
3173,"Dayton",2019,"13","17","76.47"
3173,"Dayton",2020,"14","25","56.00"
3174,"Delaware",1998,"5","6","83.33"
3174,"Delaware",1999,"11","16","68.75"
3174,"Delaware",2000,"14","21","66.67"
3174,"Delaware",2001,"14","25","56.00"
3174,"Delaware",2002,"13","23","56.52"
3174,"Delaware",2003,"11","22","50.00"
3174,"Delaware",2004,"9","19","47.37"
3174,"Delaware",2005,"11","25","44.00"
3174,"Delaware",2006,"13","22","59.09"
3174,"Delaware",2007,"14","26","53.85"
3174,"Delaware",2008,"4","7","57.14"
3174,"Delaware",2009,"7","15","46.67"
3174,"Delaware",2010,"11","21","52.38"
3174,"Delaware",2011,"9","20","45.00"
3174,"Delaware",2012,"12","30","40.00"
3174,"Delaware",2013,"13","30","43.33"
3174,"Delaware",2014,"7","20","35.00"
3174,"Delaware",2015,"8","15","53.33"
3174,"Delaware",2016,"8","16","50.00"
3174,"Delaware",2017,"9","16","56.25"
3174,"Delaware",2018,"9","19","47.37"
3174,"Delaware",2019,"8","16","50.00"
3174,"Delaware",2020,"6","12","50.00"
3175,"Delaware St",1998,"4","7","57.14"
3175,"Delaware St",1999,"10","10","100.00"
3175,"Delaware St",2000,"6","11","54.55"
3175,"Delaware St",2001,"9","16","56.25"
3175,"Delaware St",2002,"6","9","66.67"
3175,"Delaware St",2003,"10","20","50.00"
3175,"Delaware St",2004,"11","21","52.38"
3175,"Delaware St",2005,"9","16","56.25"
3175,"Delaware St",2006,"9","21","42.86"
3175,"Delaware St",2007,"9","20","45.00"
3175,"Delaware St",2008,"9","17","52.94"
3175,"Delaware St",2009,"10","14","71.43"
3175,"Delaware St",2010,"4","5","80.00"
3175,"Delaware St",2011,"3","8","37.50"
3175,"Delaware St",2012,"3","5","60.00"
3175,"Delaware St",2013,"3","8","37.50"
3175,"Delaware St",2014,"4","6","66.67"
3175,"Delaware St",2015,"1","3","33.33"
3175,"Delaware St",2016,"6","9","66.67"
3175,"Delaware St",2017,"1","3","33.33"
3175,"Delaware St",2018,"5","6","83.33"
3175,"Delaware St",2019,"5","5","100.00"
3175,"Delaware St",2020,"6","10","60.00"
3176,"Denver",1999,"8","11","72.73"
3176,"Denver",2000,"9","16","56.25"
3176,"Denver",2001,"16","24","66.67"
3176,"Denver",2002,"11","16","68.75"
3176,"Denver",2003,"7","12","58.33"
3176,"Denver",2004,"8","14","57.14"
3176,"Denver",2005,"5","6","83.33"
3176,"Denver",2006,"8","15","53.33"
3176,"Denver",2007,"11","20","55.00"
3176,"Denver",2008,"9","11","81.82"
3176,"Denver",2009,"11","16","68.75"
3176,"Denver",2010,"9","18","50.00"
3176,"Denver",2011,"12","19","63.16"
3176,"Denver",2012,"12","19","63.16"
3176,"Denver",2013,"7","14","50.00"
3176,"Denver",2014,"5","9","55.56"
3176,"Denver",2015,"6","8","75.00"
3176,"Denver",2016,"2","5","40.00"
3176,"Denver",2017,"4","6","66.67"
3176,"Denver",2018,"6","15","40.00"
3176,"Denver",2019,"13","17","76.47"
3176,"Denver",2020,"10","14","71.43"
3177,"DePaul",1998,"6","10","60.00"
3177,"DePaul",1999,"9","12","75.00"
3177,"DePaul",2000,"10","17","58.82"
3177,"DePaul",2001,"12","17","70.59"
3177,"DePaul",2002,"7","13","53.85"
3177,"DePaul",2003,"14","22","63.64"
3177,"DePaul",2004,"13","22","59.09"
3177,"DePaul",2005,"13","25","52.00"
3177,"DePaul",2006,"16","25","64.00"
3177,"DePaul",2007,"10","19","52.63"
3177,"DePaul",2008,"9","20","45.00"
3177,"DePaul",2009,"13","23","56.52"
3177,"DePaul",2010,"12","21","57.14"
3177,"DePaul",2011,"17","27","62.96"
3177,"DePaul",2012,"13","22","59.09"
3177,"DePaul",2013,"15","21","71.43"
3177,"DePaul",2014,"13","27","48.15"
3177,"DePaul",2015,"13","26","50.00"
3177,"DePaul",2016,"14","25","56.00"
3177,"DePaul",2017,"14","26","53.85"
3177,"DePaul",2018,"15","26","57.69"
3177,"DePaul",2019,"13","26","50.00"
3177,"DePaul",2020,"16","28","57.14"
3178,"Detroit",1998,"5","11","45.45"
3178,"Detroit",1999,"9","13","69.23"
3178,"Detroit",2000,"9","18","50.00"
3178,"Detroit",2001,"11","16","68.75"
3178,"Detroit",2002,"11","15","73.33"
3178,"Detroit",2003,"3","10","30.00"
3178,"Detroit",2004,"8","17","47.06"
3178,"Detroit",2005,"4","9","44.44"
3178,"Detroit",2006,"7","11","63.64"
3178,"Detroit",2007,"1","5","20.00"
3178,"Detroit",2008,"5","6","83.33"
3178,"Detroit",2009,"7","12","58.33"
3178,"Detroit",2010,"10","17","58.82"
3178,"Detroit",2011,"6","12","50.00"
3178,"Detroit",2012,"11","20","55.00"
3178,"Detroit",2013,"10","15","66.67"
3178,"Detroit",2014,"3","5","60.00"
3178,"Detroit",2015,"4","10","40.00"
3178,"Detroit",2016,"7","14","50.00"
3178,"Detroit",2017,"11","18","61.11"
3178,"Detroit",2018,"1","2","50.00"
3178,"Detroit",2019,"1","3","33.33"
3178,"Detroit",2020,"2","3","66.67"
3179,"Drake",1998,"15","25","60.00"
3179,"Drake",1999,"11","18","61.11"
3179,"Drake",2000,"13","24","54.17"
3179,"Drake",2001,"12","22","54.55"
3179,"Drake",2002,"12","23","52.17"
3179,"Drake",2003,"10","16","62.50"
3179,"Drake",2004,"11","16","68.75"
3179,"Drake",2005,"9","14","64.29"
3179,"Drake",2006,"12","17","70.59"
3179,"Drake",2007,"11","14","78.57"
3179,"Drake",2008,"12","22","54.55"
3179,"Drake",2009,"11","19","57.89"
3179,"Drake",2010,"10","15","66.67"
3179,"Drake",2011,"9","15","60.00"
3179,"Drake",2012,"9","18","50.00"
3179,"Drake",2013,"7","11","63.64"
3179,"Drake",2014,"8","17","47.06"
3179,"Drake",2015,"10","19","52.63"
3179,"Drake",2016,"10","21","47.62"
3179,"Drake",2017,"12","27","44.44"
3179,"Drake",2018,"12","25","48.00"
3179,"Drake",2019,"10","26","38.46"
3179,"Drake",2020,"12","21","57.14"
3180,"Drexel",1998,"10","11","90.91"
3180,"Drexel",1999,"4","12","33.33"
3180,"Drexel",2000,"4","10","40.00"
3180,"Drexel",2001,"12","19","63.16"
3180,"Drexel",2002,"10","14","71.43"
3180,"Drexel",2003,"7","12","58.33"
3180,"Drexel",2004,"7","10","70.00"
3180,"Drexel",2005,"12","19","63.16"
3180,"Drexel",2006,"8","15","53.33"
3180,"Drexel",2007,"5","10","50.00"
3180,"Drexel",2008,"12","18","66.67"
3180,"Drexel",2009,"10","24","41.67"
3180,"Drexel",2010,"10","17","58.82"
3180,"Drexel",2011,"12","19","63.16"
3180,"Drexel",2012,"6","18","33.33"
3180,"Drexel",2013,"8","22","36.36"
3180,"Drexel",2014,"6","15","40.00"
3180,"Drexel",2015,"11","20","55.00"
3180,"Drexel",2016,"10","19","52.63"
3180,"Drexel",2017,"12","21","57.14"
3180,"Drexel",2018,"13","26","50.00"
3180,"Drexel",2019,"9","24","37.50"
3180,"Drexel",2020,"14","23","60.87"
3181,"Duke",1998,"14","21","66.67"
3181,"Duke",1999,"14","24","58.33"
3181,"Duke",2000,"17","26","65.38"
3181,"Duke",2001,"18","28","64.29"
3181,"Duke",2002,"17","27","62.96"
3181,"Duke",2003,"13","31","41.94"
3181,"Duke",2004,"12","27","44.44"
3181,"Duke",2005,"13","28","46.43"
3181,"Duke",2006,"13","26","50.00"
3181,"Duke",2007,"16","30","53.33"
3181,"Duke",2008,"10","22","45.45"
3181,"Duke",2009,"15","26","57.69"
3181,"Duke",2010,"17","27","62.96"
3181,"Duke",2011,"18","29","62.07"
3181,"Duke",2012,"13","24","54.17"
3181,"Duke",2013,"16","30","53.33"
3181,"Duke",2014,"14","27","51.85"
3181,"Duke",2015,"15","21","71.43"
3181,"Duke",2016,"11","20","55.00"
3181,"Duke",2017,"18","27","66.67"
3181,"Duke",2018,"16","22","72.73"
3181,"Duke",2019,"9","15","60.00"
3181,"Duke",2020,"12","18","66.67"
3182,"Duquesne",1998,"10","19","52.63"
3182,"Duquesne",1999,"12","15","80.00"
3182,"Duquesne",2000,"5","8","62.50"
3182,"Duquesne",2001,"9","15","60.00"
3182,"Duquesne",2002,"10","14","71.43"
3182,"Duquesne",2003,"9","15","60.00"
3182,"Duquesne",2004,"10","16","62.50"
3182,"Duquesne",2005,"7","10","70.00"
3182,"Duquesne",2006,"7","13","53.85"
3182,"Duquesne",2007,"4","7","57.14"
3182,"Duquesne",2008,"7","14","50.00"
3182,"Duquesne",2009,"11","20","55.00"
3182,"Duquesne",2010,"7","20","35.00"
3182,"Duquesne",2011,"9","22","40.91"
3182,"Duquesne",2012,"14","20","70.00"
3182,"Duquesne",2013,"13","23","56.52"
3182,"Duquesne",2014,"7","19","36.84"
3182,"Duquesne",2015,"11","21","52.38"
3182,"Duquesne",2016,"11","26","42.31"
3182,"Duquesne",2017,"10","18","55.56"
3182,"Duquesne",2018,"12","23","52.17"
3182,"Duquesne",2019,"10","19","52.63"
3182,"Duquesne",2020,"11","20","55.00"
3183,"E Illinois",1998,"6","12","50.00"
3183,"E Illinois",1999,"5","5","100.00"
3183,"E Illinois",2000,"4","7","57.14"
3183,"E Illinois",2001,"2","7","28.57"
3183,"E Illinois",2002,"4","6","66.67"
3183,"E Illinois",2003,"5","6","83.33"
3183,"E Illinois",2004,"2","6","33.33"
3183,"E Illinois",2005,"6","9","66.67"
3183,"E Illinois",2006,"6","10","60.00"
3183,"E Illinois",2007,"5","9","55.56"
3183,"E Illinois",2008,"10","18","55.56"
3183,"E Illinois",2009,"14","24","58.33"
3183,"E Illinois",2010,"11","22","50.00"
3183,"E Illinois",2011,"10","18","55.56"
3183,"E Illinois",2012,"11","21","52.38"
3183,"E Illinois",2013,"11","18","61.11"
3183,"E Illinois",2014,"7","12","58.33"
3183,"E Illinois",2015,"7","10","70.00"
3183,"E Illinois",2016,"3","3","100.00"
3183,"E Illinois",2017,"3","7","42.86"
3183,"E Illinois",2018,"3","3","100.00"
3183,"E Illinois",2019,"6","8","75.00"
3183,"E Illinois",2020,"8","18","44.44"
3184,"E Kentucky",1998,"7","18","38.89"
3184,"E Kentucky",1999,"7","11","63.64"
3184,"E Kentucky",2000,"8","13","61.54"
3184,"E Kentucky",2001,"10","18","55.56"
3184,"E Kentucky",2002,"10","20","50.00"
3184,"E Kentucky",2003,"7","17","41.18"
3184,"E Kentucky",2004,"8","15","53.33"
3184,"E Kentucky",2005,"11","23","47.83"
3184,"E Kentucky",2006,"4","7","57.14"
3184,"E Kentucky",2007,"5","11","45.45"
3184,"E Kentucky",2008,"6","13","46.15"
3184,"E Kentucky",2009,"3","5","60.00"
3184,"E Kentucky",2010,"4","11","36.36"
3184,"E Kentucky",2011,"4","4","100.00"
3184,"E Kentucky",2012,"5","12","41.67"
3184,"E Kentucky",2013,"12","17","70.59"
3184,"E Kentucky",2014,"6","16","37.50"
3184,"E Kentucky",2015,"2","8","25.00"
3184,"E Kentucky",2016,"7","16","43.75"
3184,"E Kentucky",2017,"7","11","63.64"
3184,"E Kentucky",2018,"5","7","71.43"
3184,"E Kentucky",2020,"4","10","40.00"
3185,"E Michigan",1998,"5","9","55.56"
3185,"E Michigan",1999,"5","14","35.71"
3185,"E Michigan",2000,"9","16","56.25"
3185,"E Michigan",2001,"10","15","66.67"
3185,"E Michigan",2002,"9","16","56.25"
3185,"E Michigan",2003,"7","13","53.85"
3185,"E Michigan",2004,"10","21","47.62"
3185,"E Michigan",2005,"11","22","50.00"
3185,"E Michigan",2006,"14","22","63.64"
3185,"E Michigan",2007,"8","16","50.00"
3185,"E Michigan",2008,"6","16","37.50"
3185,"E Michigan",2009,"6","7","85.71"
3185,"E Michigan",2010,"10","20","50.00"
3185,"E Michigan",2011,"11","22","50.00"
3185,"E Michigan",2012,"10","22","45.45"
3185,"E Michigan",2013,"4","8","50.00"
3185,"E Michigan",2014,"6","14","42.86"
3185,"E Michigan",2015,"8","19","42.11"
3185,"E Michigan",2016,"9","19","47.37"
3185,"E Michigan",2017,"3","5","60.00"
3185,"E Michigan",2018,"5","10","50.00"
3185,"E Michigan",2019,"8","13","61.54"
3185,"E Michigan",2020,"8","15","53.33"
3186,"E Washington",1998,"4","4","100.00"
3186,"E Washington",1999,"5","8","62.50"
3186,"E Washington",2000,"7","10","70.00"
3186,"E Washington",2001,"5","8","62.50"
3186,"E Washington",2002,"5","10","50.00"
3186,"E Washington",2003,"7","16","43.75"
3186,"E Washington",2004,"5","12","41.67"
3186,"E Washington",2005,"8","14","57.14"
3186,"E Washington",2006,"11","13","84.62"
3186,"E Washington",2007,"5","8","62.50"
3186,"E Washington",2008,"2","2","100.00"
3186,"E Washington",2009,"6","8","75.00"
3186,"E Washington",2010,"10","17","58.82"
3186,"E Washington",2011,"6","11","54.55"
3186,"E Washington",2012,"6","14","42.86"
3186,"E Washington",2013,"9","18","50.00"
3186,"E Washington",2014,"11","15","73.33"
3186,"E Washington",2015,"11","18","61.11"
3186,"E Washington",2016,"11","19","57.89"
3186,"E Washington",2017,"7","17","41.18"
3186,"E Washington",2018,"10","16","62.50"
3186,"E Washington",2019,"3","12","25.00"
3186,"E Washington",2020,"2","3","66.67"
3187,"East Carolina",1998,"5","9","55.56"
3187,"East Carolina",1999,"9","16","56.25"
3187,"East Carolina",2000,"9","16","56.25"
3187,"East Carolina",2001,"11","15","73.33"
3187,"East Carolina",2002,"4","6","66.67"
3187,"East Carolina",2003,"7","12","58.33"
3187,"East Carolina",2004,"9","14","64.29"
3187,"East Carolina",2005,"7","10","70.00"
3187,"East Carolina",2006,"8","17","47.06"
3187,"East Carolina",2007,"10","19","52.63"
3187,"East Carolina",2008,"8","13","61.54"
3187,"East Carolina",2009,"12","18","66.67"
3187,"East Carolina",2010,"12","22","54.55"
3187,"East Carolina",2011,"8","15","53.33"
3187,"East Carolina",2012,"7","10","70.00"
3187,"East Carolina",2013,"12","20","60.00"
3187,"East Carolina",2014,"13","21","61.90"
3187,"East Carolina",2015,"10","21","47.62"
3187,"East Carolina",2016,"5","13","38.46"
3187,"East Carolina",2017,"7","10","70.00"
3187,"East Carolina",2018,"11","16","68.75"
3187,"East Carolina",2019,"11","16","68.75"
3187,"East Carolina",2020,"7","9","77.78"
3188,"SIUE",2009,"2","2","100.00"
3188,"SIUE",2010,"4","5","80.00"
3188,"SIUE",2011,"8","11","72.73"
3188,"SIUE",2012,"8","18","44.44"
3188,"SIUE",2013,"8","16","50.00"
3188,"SIUE",2014,"6","11","54.55"
3188,"SIUE",2015,"9","19","47.37"
3188,"SIUE",2016,"9","18","50.00"
3188,"SIUE",2017,"9","13","69.23"
3188,"SIUE",2018,"10","17","58.82"
3188,"SIUE",2019,"6","12","50.00"
3188,"SIUE",2020,"2","3","66.67"
3189,"Elon",1999,"2","4","50.00"
3189,"Elon",2000,"5","12","41.67"
3189,"Elon",2001,"12","15","80.00"
3189,"Elon",2002,"7","14","50.00"
3189,"Elon",2003,"11","16","68.75"
3189,"Elon",2004,"8","16","50.00"
3189,"Elon",2005,"2","3","66.67"
3189,"Elon",2006,"6","10","60.00"
3189,"Elon",2007,"8","9","88.89"
3189,"Elon",2008,"5","10","50.00"
3189,"Elon",2009,"1","4","25.00"
3189,"Elon",2010,"3","10","30.00"
3189,"Elon",2011,"8","17","47.06"
3189,"Elon",2012,"8","14","57.14"
3189,"Elon",2013,"12","18","66.67"
3189,"Elon",2014,"8","13","61.54"
3189,"Elon",2015,"8","17","47.06"
3189,"Elon",2016,"9","17","52.94"
3189,"Elon",2017,"10","26","38.46"
3189,"Elon",2018,"12","24","50.00"
3189,"Elon",2019,"4","8","50.00"
3189,"Elon",2020,"7","13","53.85"
3190,"ETSU",1998,"5","10","50.00"
3190,"ETSU",1999,"10","16","62.50"
3190,"ETSU",2000,"11","15","73.33"
3190,"ETSU",2001,"3","7","42.86"
3190,"ETSU",2002,"7","9","77.78"
3190,"ETSU",2003,"5","8","62.50"
3190,"ETSU",2004,"8","13","61.54"
3190,"ETSU",2005,"7","12","58.33"
3190,"ETSU",2006,"10","18","55.56"
3190,"ETSU",2007,"10","20","50.00"
3190,"ETSU",2008,"11","21","52.38"
3190,"ETSU",2009,"11","20","55.00"
3190,"ETSU",2010,"11","23","47.83"
